,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence
0,Not eligible for coverage / N/A,,No,No,I don't know,Very easy,No,No
1,No,Yes,Yes,Yes,Yes,Somewhat easy,No,No
2,No,,No,No,I don't know,Neither easy nor difficult,Maybe,No
3,,,,,,,,
4,Yes,Yes,No,No,No,Neither easy nor difficult,Yes,Maybe
5,Yes,I am not sure,No,Yes,Yes,Somewhat easy,Yes,Yes
6,I don't know,No,No,No,I don't know,Somewhat easy,No,No
7,Yes,Yes,No,Yes,Yes,Very easy,No,No
8,I don't know,No,No,No,I don't know,Very difficult,Yes,Yes
9,,,,,,,,
10,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No
11,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,No
12,Yes,I am not sure,No,No,Yes,Very easy,No,No
13,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
14,Yes,Yes,No,I don't know,Yes,Very easy,No,No
15,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe
16,Not eligible for coverage / N/A,No,No,No,I don't know,Very difficult,Maybe,No
17,No,No,No,No,I don't know,I don't know,Maybe,No
18,,,,,,,,
19,I don't know,No,No,No,I don't know,I don't know,Yes,No
20,No,,No,No,I don't know,Very easy,No,No
21,Yes,No,Yes,I don't know,I don't know,Somewhat easy,No,No
22,Yes,Yes,No,No,I don't know,Very easy,Maybe,Maybe
23,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No
24,,,,,,,,
25,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No
26,No,No,No,No,I don't know,Very difficult,Yes,Yes
27,I don't know,No,No,No,I don't know,Somewhat difficult,No,No
28,I don't know,No,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,No
29,Not eligible for coverage / N/A,,No,No,Yes,Somewhat easy,No,No
30,Not eligible for coverage / N/A,Yes,No,No,I don't know,Somewhat easy,Maybe,No
31,Yes,Yes,No,Yes,Yes,Very easy,No,No
32,I don't know,I am not sure,No,No,I don't know,Very easy,Maybe,No
33,,,,,,,,
34,Yes,I am not sure,No,I don't know,Yes,Very easy,No,No
35,No,No,No,Yes,I don't know,Somewhat easy,Maybe,No
36,Yes,I am not sure,No,Yes,Yes,Very easy,No,No
37,No,Yes,No,No,I don't know,Somewhat easy,No,No
38,No,I am not sure,Yes,No,I don't know,Somewhat easy,No,No
39,Yes,Yes,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No
40,,,,,,,,
41,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,No,No
42,Yes,I am not sure,No,No,Yes,Somewhat difficult,Yes,Maybe
43,,,,,,,,
44,No,I am not sure,No,No,No,Somewhat difficult,Maybe,No
45,Yes,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,Maybe
46,,,,,,,,
47,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No
48,,,,,,,,
49,Yes,Yes,No,No,Yes,Very easy,No,No
50,No,,No,No,I don't know,Somewhat easy,Maybe,Maybe
51,Yes,Yes,No,No,Yes,Very easy,Maybe,Maybe
52,,,,,,,,
53,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe
54,Yes,Yes,No,No,I don't know,I don't know,Maybe,No
55,Yes,No,Yes,Yes,I don't know,Somewhat difficult,Maybe,Maybe
56,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No
57,Yes,Yes,No,I don't know,Yes,Somewhat difficult,Maybe,No
58,Yes,I am not sure,No,No,I don't know,Somewhat difficult,No,No
59,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,No
60,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,No,No
61,Not eligible for coverage / N/A,,No,No,I don't know,Very difficult,Yes,No
62,Yes,Yes,No,No,I don't know,Somewhat easy,No,No
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,No,Yes,No,No,I don't know,Somewhat difficult,Maybe,No
67,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe
68,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,Maybe
69,No,Yes,No,I don't know,Yes,Very easy,No,No
70,,,,,,,,
71,Yes,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No
72,I don't know,No,No,No,I don't know,Very difficult,Yes,Maybe
73,No,No,No,I don't know,I don't know,Very easy,No,No
74,Yes,Yes,No,No,Yes,Very easy,No,No
75,No,,No,No,I don't know,Very easy,No,No
76,,,,,,,,
77,I don't know,I am not sure,No,No,No,Somewhat easy,No,No
78,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No
79,Yes,Yes,No,Yes,Yes,Very easy,No,No
80,Yes,Yes,No,I don't know,Yes,I don't know,No,No
81,No,No,No,No,I don't know,Very difficult,Maybe,Maybe
82,,,,,,,,
83,I don't know,I am not sure,No,I don't know,Yes,Somewhat easy,No,No
84,,,,,,,,
85,Yes,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No
86,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No
87,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,No
88,,,,,,,,
89,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No
90,No,,No,No,I don't know,I don't know,Maybe,No
91,Yes,Yes,I don't know,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe
92,No,,Yes,I don't know,I don't know,Neither easy nor difficult,No,No
93,No,,No,No,I don't know,Somewhat difficult,Yes,No
94,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No
95,Yes,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No
96,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No
97,I don't know,I am not sure,Yes,I don't know,Yes,I don't know,No,No
98,,,,,,,,
99,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No
100,Yes,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No
101,I don't know,No,No,No,I don't know,I don't know,Yes,No
102,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No
103,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,Maybe,Maybe
104,No,I am not sure,No,No,I don't know,Somewhat difficult,Yes,No
105,,,,,,,,
106,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No
107,Yes,Yes,No,Yes,Yes,I don't know,Maybe,Maybe
108,Yes,Yes,No,No,Yes,Very easy,No,No
109,,,,,,,,
110,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No
111,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
112,Yes,I am not sure,No,I don't know,I don't know,Somewhat difficult,Yes,No
113,,,,,,,,
114,,,,,,,,
115,Yes,Yes,No,Yes,Yes,I don't know,Maybe,Maybe
116,I don't know,No,No,No,I don't know,I don't know,No,No
117,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
118,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No
119,Yes,No,No,No,No,Neither easy nor difficult,Maybe,No
120,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No
121,Yes,Yes,Yes,I don't know,I don't know,Very easy,No,No
122,,,,,,,,
123,No,Yes,No,No,I don't know,Somewhat difficult,Yes,Maybe
124,,,,,,,,
125,,,,,,,,
126,I don't know,No,Yes,No,I don't know,Very difficult,Yes,Maybe
127,,,,,,,,
128,I don't know,No,I don't know,I don't know,I don't know,Very easy,Maybe,Maybe
129,Yes,No,No,No,No,Somewhat easy,Maybe,No
130,I don't know,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,Maybe
131,Yes,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe
132,No,I am not sure,No,No,I don't know,Somewhat difficult,Yes,No
133,Yes,No,No,Yes,Yes,I don't know,Maybe,No
134,I don't know,No,Yes,I don't know,I don't know,Neither easy nor difficult,No,No
135,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,No
136,Yes,No,No,I don't know,I don't know,I don't know,No,No
137,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No
138,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,No
139,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
140,No,Yes,No,No,No,Very difficult,Maybe,Maybe
141,I don't know,No,No,I don't know,I don't know,I don't know,Yes,Maybe
142,Yes,No,No,I don't know,I don't know,I don't know,Maybe,No
143,I don't know,I am not sure,I don't know,No,I don't know,I don't know,Maybe,Maybe
144,Yes,I am not sure,No,No,No,Somewhat easy,Maybe,No
145,,,,,,,,
146,Yes,No,No,No,I don't know,Very difficult,Yes,Maybe
147,Yes,Yes,No,I don't know,No,Somewhat easy,No,No
148,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,No
149,No,,No,No,I don't know,Very difficult,Yes,Maybe
150,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No
151,,,,,,,,
152,,,,,,,,
153,Yes,No,I don't know,I don't know,I don't know,I don't know,Maybe,No
154,,,,,,,,
155,I don't know,No,Yes,No,I don't know,Very easy,No,No
156,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe
157,No,I am not sure,No,I don't know,Yes,Very difficult,Yes,Maybe
158,I don't know,No,No,No,I don't know,Somewhat difficult,Yes,Maybe
159,Yes,Yes,No,I don't know,Yes,Somewhat easy,Maybe,Maybe
160,Yes,Yes,No,Yes,Yes,Very easy,No,No
161,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe
162,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No
163,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,Maybe
164,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No
165,I don't know,I am not sure,Yes,No,I don't know,Very easy,Maybe,Maybe
166,I don't know,No,No,I don't know,Yes,Very easy,Maybe,Maybe
167,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,No
168,,,,,,,,
169,Yes,I am not sure,Yes,I don't know,I don't know,Somewhat easy,Maybe,No
170,No,I am not sure,No,No,No,Somewhat easy,Maybe,Maybe
171,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No
172,No,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe
173,Yes,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe
174,No,,No,No,No,Neither easy nor difficult,Maybe,Maybe
175,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,Maybe,Maybe
176,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No
177,I don't know,I am not sure,No,No,I don't know,Somewhat easy,No,No
178,No,,Yes,No,Yes,Somewhat easy,No,No
179,Yes,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No
180,No,,No,Yes,I don't know,Very easy,No,No
181,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe
182,Not eligible for coverage / N/A,,Yes,I don't know,I don't know,Very easy,No,No
183,No,No,No,No,Yes,Very easy,No,No
184,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No
185,No,No,No,No,No,Somewhat easy,No,No
186,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
187,Yes,Yes,I don't know,Yes,Yes,Somewhat difficult,No,No
188,Yes,No,No,I don't know,I don't know,Very easy,No,No
189,Yes,No,No,I don't know,I don't know,Very easy,Maybe,No
190,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,Maybe,No
191,,,,,,,,
192,No,No,No,No,I don't know,Neither easy nor difficult,No,No
193,,,,,,,,
194,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,Maybe
195,No,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No
196,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No
197,,,,,,,,
198,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No
199,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Yes,Maybe
200,Yes,Yes,No,Yes,Yes,Somewhat difficult,Maybe,No
201,I don't know,,No,I don't know,Yes,Very easy,No,No
202,I don't know,No,No,I don't know,Yes,Somewhat easy,No,No
203,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No
204,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No
205,Not eligible for coverage / N/A,,No,No,No,Somewhat easy,No,No
206,I don't know,No,Yes,I don't know,I don't know,Somewhat easy,Maybe,No
207,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No
208,No,No,No,No,I don't know,Somewhat difficult,Yes,No
209,Yes,I am not sure,No,Yes,I don't know,Somewhat easy,No,No
210,No,No,No,No,I don't know,Neither easy nor difficult,No,No
211,Yes,Yes,I don't know,I don't know,Yes,Somewhat easy,No,No
212,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No
213,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,Maybe
214,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe
215,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe
216,I don't know,No,I don't know,I don't know,I don't know,I don't know,Maybe,Maybe
217,No,,No,No,I don't know,Somewhat easy,No,No
218,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No
219,No,No,No,No,No,Somewhat easy,Yes,No
220,Yes,Yes,No,No,Yes,Very easy,No,No
221,Yes,No,No,No,I don't know,I don't know,Maybe,No
222,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No
223,Not eligible for coverage / N/A,,Yes,No,Yes,Somewhat easy,Maybe,Maybe
224,Yes,Yes,No,No,Yes,Somewhat easy,No,No
225,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No
226,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,Maybe
227,No,I am not sure,No,No,No,Somewhat easy,Maybe,No
228,Yes,Yes,No,No,I don't know,Neither easy nor difficult,Maybe,No
229,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe
230,I don't know,No,No,Yes,No,Somewhat difficult,Maybe,Maybe
231,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
232,Yes,I am not sure,No,No,Yes,Very easy,No,No
233,Yes,Yes,I don't know,I don't know,Yes,Very easy,No,No
234,Yes,Yes,Yes,Yes,No,Very difficult,Yes,No
235,Yes,Yes,No,Yes,Yes,Very easy,No,No
236,,,,,,,,
237,No,No,No,I don't know,I don't know,Very easy,Maybe,No
238,,,,,,,,
239,No,No,No,No,I don't know,Very easy,Maybe,No
240,Not eligible for coverage / N/A,I am not sure,Yes,No,I don't know,Neither easy nor difficult,Yes,Maybe
241,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,No
242,,,,,,,,
243,I don't know,I am not sure,No,I don't know,I don't know,Very easy,No,No
244,,,,,,,,
245,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe
246,Not eligible for coverage / N/A,,Yes,Yes,Yes,Very easy,Yes,No
247,No,,No,No,I don't know,Somewhat easy,No,No
248,No,I am not sure,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe
249,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,No
250,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,Maybe
251,Yes,I am not sure,No,Yes,I don't know,I don't know,Maybe,No
252,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,No,No
253,Yes,Yes,Yes,No,Yes,Neither easy nor difficult,Maybe,Maybe
254,,,,,,,,
255,No,Yes,Yes,No,No,Somewhat easy,No,No
256,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
257,Yes,I am not sure,I don't know,I don't know,I don't know,Somewhat easy,No,No
258,Yes,Yes,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No
259,Yes,I am not sure,No,Yes,Yes,Very easy,No,No
260,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No
261,Yes,No,Yes,Yes,Yes,Neither easy nor difficult,No,No
262,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,Maybe
263,Yes,Yes,No,Yes,I don't know,Neither easy nor difficult,Maybe,No
264,Yes,Yes,Yes,Yes,I don't know,Somewhat difficult,Yes,Maybe
265,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No
266,Yes,I am not sure,Yes,I don't know,I don't know,Somewhat difficult,Maybe,No
267,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No
268,No,No,No,No,I don't know,Very difficult,Yes,Maybe
269,Yes,Yes,No,Yes,Yes,Somewhat easy,Maybe,No
270,I don't know,Yes,No,No,I don't know,Somewhat easy,No,No
271,Yes,Yes,Yes,Yes,Yes,Very easy,No,No
272,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
273,Yes,I am not sure,I don't know,Yes,I don't know,Very easy,No,No
274,,,,,,,,
275,Yes,Yes,No,No,I don't know,Very difficult,Maybe,Maybe
276,I don't know,I am not sure,No,Yes,I don't know,Very difficult,Yes,Yes
277,Yes,I am not sure,I don't know,I don't know,I don't know,Neither easy nor difficult,No,No
278,,,,,,,,
279,Yes,No,Yes,I don't know,Yes,Very difficult,Maybe,Maybe
280,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,No,No
281,Yes,Yes,No,No,I don't know,I don't know,No,No
282,Yes,Yes,No,No,I don't know,Very difficult,Yes,Maybe
283,,,,,,,,
284,No,,No,Yes,I don't know,Neither easy nor difficult,Yes,No
285,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe
286,Yes,No,No,No,I don't know,Very easy,Maybe,No
287,I don't know,I am not sure,No,Yes,I don't know,Neither easy nor difficult,No,No
288,No,No,No,No,No,Somewhat difficult,Yes,Maybe
289,I don't know,No,No,No,I don't know,Somewhat easy,No,No
290,No,No,No,No,No,I don't know,Maybe,Maybe
291,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No
292,I don't know,No,Yes,I don't know,I don't know,Somewhat easy,No,No
293,,,,,,,,
294,I don't know,No,No,No,I don't know,I don't know,Yes,Yes
295,No,No,No,No,I don't know,Very easy,No,No
296,,,,,,,,
297,Yes,I am not sure,No,No,Yes,Very easy,No,No
298,Yes,I am not sure,Yes,Yes,I don't know,Very easy,No,No
299,I don't know,,No,No,I don't know,Neither easy nor difficult,No,No
300,Not eligible for coverage / N/A,,No,No,No,Somewhat difficult,No,No
301,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
302,Not eligible for coverage / N/A,,No,No,I don't know,Somewhat easy,Maybe,No
303,No,I am not sure,No,No,I don't know,Very difficult,Maybe,Maybe
304,,,,,,,,
305,I don't know,I am not sure,No,I don't know,Yes,I don't know,Maybe,No
